word1,word2,count
someone,in,115
share,the,202
and,such,93
library,with,16
in,to,687
the,booze,10
size,and,79
with,an,1031
to,cover,295
and,presence,5
i,miss,904
cover,for,34
we'll,show,5
miss,my,144
show,you,234
for,that,907
my,scottish,5
will,change,80
you,some,115
an,eclectic,21
change,the,344
friends,hope,5
the,game,1667
hope,you're,144
collection,of,256
drunk,tweets,5
you're,all,34
of,books,126
tweets,with,8
all,doing,13
doing,great,76
a,side,125
is,sponsoring,9
could,have,915
sponsoring,the,17
side,of,839
of,advertising,20
the,million,223
i,reached,40
million,dollar,29
he,said,3795
reached,my,18
maybe,maybe,8
said,but,394
prize,for,41
maybe,not,83
but,this,658
the,art,252
my,soul,99
when,some,29
art,books,6
soul,is,19
some,one,31
books,and,189
is,at,475
came,to,707
and,both,94
to,a,5583
at,rest,10
both,of,392
a,unanimous,14
u,out,15
of,them,1826
unanimous,decision,7
out,on,660
i,know,3853
on,something,92
something,and,94
had,any,92
and,does,79
acted,like,13
does,the,280
contest,at,10
same,thing,341
found,that,348
same,here,118
because,there,136
that,she,1018
there,were,1071
she,was,1989
golf,tournament,19
was,hiding,8
were,so,192
ff,who,9
tournament,in,17
who,will,484
so,many,1289
will,soon,102
coto,de,5
she,and,211
soon,be,76
de,caza,5
let's,get,186
her,son,137
the,last,2759
son,would,12
a,meme,5
somewhat,of,18
been,killed,43
of,a,7959
last,few,211
killed,on,16
a,handle,17
few,years,446
i,only,346
the,spot,106
years,the,215
what,a,1171
on,life,52
spot,as,8
as,an,1098
life,but,107
put,in,311
an,example,167
have,now,75
think,it,602
it,broke,10
of,gas,54
in,missouri,68
gas,at,5
where,to,221
haha,i,266
and,this,741
to,get,7082
this,sketch,18
when,do,73
do,i,956
same,reaction,10
relocated,to,21
reaction,but,7
still,going,102
i,not,100
the,cleveland,183
not,ask,28
good,meal,12
the,festival,98
cleveland,area,11
ask,questions,56
we,believe,120
area,with,40
believe,that,496
so,i,3277
with,his,1206
gave,you,37
always,has,67
his,parents,135
has,a,2286
buffalo,is,6
parents,after,6
a,shout,101
a,way,891
it,best,41
shout,out,400
way,of,584
