word1,word2,word3,count
we,are,gonna,8
are,gonna,have,6
designed,to,make,6
get,in,trouble,20
have,fun,tonight,15
to,make,the,491
in,trouble,with,8
thank,you,to,205
trouble,with,my,6
you,to,the,74
look,as,if,13
as,if,they're,7
see,you,soon,106
u,can,do,7
can,do,it,137
trying,to,find,111
for,all,their,11
to,find,people,10
and,as,an,15
their,involvement,in,7
ruled,that,the,11
that,the,federal,25
in,this,project,6
you,don't,take,12
ingredient,in,the,6
care,of,business,17
with,an,old,17
an,old,friend,23
old,friend,from,5
someone,out,there,12
you,know,i,148
because,of,the,468
out,there,that,41
know,i,have,48
have,to,protect,5
to,protect,my,8
everything,was,great,5
you,decided,to,7
to,act,like,27
and,seeing,the,11
the,same,exact,13
one,day,and,26
and,one,of,185
day,and,the,33
of,the,most,587
and,the,next,67
was,having,an,8
the,most,productive,7
having,an,affair,14
an,affair,with,17
it's,what,we,6
wasn't,that,bad,5
what,we,do,85
to,the,people,83
makes,me,mad,9
the,people,who,237
happy,fathers,day,10
widow,andrea,sneiderman,5
never,get,a,13
has,not,addressed,5
in,advance,to,9
to,all,you,43
i,was,drunk,7
saying,only,that,11
and,to,all,20
all,the,mothers,23
of,love,but,5
play,the,role,10
to,return,to,116
the,role,of,125
but,now,im,8
a,friend,of,106
i,do,this,32
i,want,all,10
do,this,with,8
of,our,family,21
we,have,lots,14
on,the,move,22
this,with,the,10
have,lots,of,62
don't,give,up,23
with,the,girls,28
give,up,and,15
the,girls,i,10
up,and,put,13
and,put,your,7
said,let,the,5
your,head,in,7
at,making,a,6
amazing,how,much,14
head,in,the,21
written,on,the,9
how,much,they,40
in,the,sand,24
asked,me,to,77
good,morning,everyone,48
he,decides,to,7
still,need,to,47
need,to,get,311
to,get,my,214
comes,home,from,5
home,from,school,52
from,school,and,16
in,the,city,319
to,be,the,701
informs,me,that,5
be,the,death,17
me,that,she,36
the,death,of,190
that,she,needs,6
death,of,me,20
i,love,to,132
love,to,dance,8
on,top,of,307
top,of,the,359
switched,to,the,6
tweet,goes,out,6
to,the,internet,36
need,to,go,130
i'll,see,you,26
see,you,on,61
out,as,a,40
to,go,hard,7
you,on,friday,7
a,shoutout,to,7
shoutout,to,the,9
to,the,greatest,8
next,few,weeks,47
few,weeks,i,12
woman,i,have,6
i,want,to,1435
i,have,ever,122
have,ever,known,5
game,in,the,57
in,the,seventh,52
my,wife,and,75
the,seventh,inning,23
and,best,friend,6
inning,with,a,15
what,the,fuck,78
you,guys,were,23
the,fuck,is,31
in,vegas,and,6
on,the,st,35
time,for,bed,30
nice,meeting,you,25
meeting,you,at,15
to,get,some,163
you,at,the,117
at,the,meet,7
thinking,of,the,23
of,the,kids,53
a,fly,ball,5
the,kids,at,14
down,the,left,7
her,high,school,5
the,left,field,12
an,early,morning,9
and,did,you,9
line,in,the,32
did,you,know,227
in,the,eighth,40
just,landed,in,21
the,eighth,inning,21
in,san,francisco,132
san,francisco,and,27
get,on,a,20
and,i'm,so,27
i'm,so,hungry,8
on,a,plane,45
a,plane,to,12
i,could,eat,16
with,my,friends,35
im,so,ready,5
so,ready,to,20
for,the,day,192
how,on,earth,18
above,and,beyond,23
on,earth,do,5
resolution,is,to,6
has,been,an,68
is,to,get,78
no,intention,of,22
to,come,up,118
this,year,i,99
not,from,the,12
come,up,with,265
year,i,will,12
up,with,this,36
i,will,do,69
with,this,kind,6
the,lakers,are,15
will,do,that,21
this,kind,of,131
kind,of,money,7
as,the,economy,15
of,money,i,7
by,going,to,13
the,economy,continues,5
economy,continues,to,8
i,mean,this,10
they,ran,out,5
mean,this,is,6
ran,out,of,65
to,recover,and,7
this,is,for,35
is,for,a,30
and,at,a,18
a,time,when,167
and,in,need,5
in,need,of,113
need,of,some,16
it's,not,even,47
interest,rates,are,5
me,in,the,195
in,the,door,34
the,door,but,10
but,i,wouldn't,16
i,wouldn't,mind,14
wouldn't,mind,if,6
who,rely,on,9
if,the,book,6
you,right,now,31
the,book,was,28
around,in,the,40
in,the,gym,49
that,is,a,216
was,actually,good,5
the,gym,for,11
is,a,lot,160
and,say,that,13
should,not,be,153
waiting,for,my,44
that,you're,not,8
not,on,my,16
on,my,mind,97
from,last,year,45
its,th,annual,7
where,are,all,8
are,all,the,33
popped,up,in,6
the,white,house,227
what,is,wrong,33
up,in,the,436
white,house,said,9
is,wrong,with,46
on,may,th,34
th,pm,at,6
pm,at,the,66
when,it,comes,479
side,by,side,36
months,worth,of,9
it,comes,to,454
by,side,with,7
you,are,an,47
are,an,amazing,8
need,to,remember,23
the,way,you,152
way,you,treat,7
i,love,your,138
in,front,of,792
front,of,the,282
belong,to,the,24
of,the,camera,23
to,the,same,92
are,any,indication,8
i,went,to,322
she,had,no,27
had,no,intention,9
the,human,race,22
i,think,you'll,10
make,a,wonderful,5
to,eat,as,5
rt,if,u,31
a,wonderful,mother,6
what's,your,favorite,77
if,u,like,11
your,favorite,thing,18
favorite,thing,to,14
checking,out,the,27
thing,to,do,131
as,i,could,64
to,do,in,75
free,to,let,5
the,multnomah,county,11
to,let,me,67
in,lincoln,park,10
let,me,know,527
who,do,you,72
me,know,if,119
i,think,i've,37
know,if,i,94
if,i,can,180
i've,decided,to,27
i,can,be,106
can,be,of,9
are,making,me,11
making,me,laugh,9
we,should,get,21
from,the,past,47
the,box,office,31
all,of,which,65
her,mom,and,10
should,be,a,179
add,up,to,29
up,to,an,16
related,to,a,13
on,the,way,309
to,a,black,5
view,of,the,99
i,was,eating,16
of,the,festivities,5
man,this,is,10
by,myself,and,8
don't,need,to,79
starts,in,minutes,7
to,go,it,10
came,over,to,14
songs,on,the,10
to,tell,me,114
on,the,first,148
tell,me,to,24
me,to,come,32
to,come,over,37
come,over,to,16
sitting,in,the,77
in,the,back,240
to,eat,with,11
the,back,seat,26
then,we,will,15
we,will,be,301
i,love,y'all,6
on,a,hot,28
will,be,open,44
a,hot,day,6
not,many,people,8
i,miss,you,275
many,people,who,22
day,listening,to,6
listening,to,the,111
the,beach,boys,15
how,have,you,46
me,to,do,74
have,you,been,135
to,do,things,56
i,really,want,116
really,want,some,7
but,this,was,41
some,ice,cream,12
this,was,so,8
was,so,cute,10
but,i,had,76
so,i,did,42
they,had,a,99
had,a,lot,133
i,did,it,77
did,it,was,13
lot,of,energy,10
for,lunch,i,8
in,so,many,51
i,can't,be,34
so,many,ways,32
and,in,the,313
in,the,scheme,8
the,scheme,of,5
and,they,were,102
scheme,of,things,14
of,things,i,48
if,you,say,34
the,outcomes,of,5
of,the,matches,6
do,all,the,38
as,much,as,595
great,meeting,you,45
much,as,the,51
all,that,in,8
that,in,the,136
acts,of,kindness,9
we,didn't,know,15
didn't,know,what,44
i'm,scared,of,15
know,what,was,25
what,was,going,71
was,going,on,94
same,age,as,6
for,each,and,8
going,on,so,6
on,so,we,6
each,and,everyone,6
over,your,shoulder,6
please,send,us,5
your,shoulder,and,5
jumped,out,of,9
one,of,you,47
out,of,bed,99
and,tell,your,13
the,rice,and,7
the,front,door,65
we,are,working,49
so,easy,and,14
are,working,on,62
check,it,out,352
we,have,some,61
the,back,door,30
back,door,and,6
working,on,a,146
on,a,new,90
time,for,me,80
and,that's,where,13
me,to,watch,6
where,it,was,41
to,enter,your,7
it,was,but,19
check,out,their,16
was,but,i,12
bring,on,the,40
i,didn't,see,36
i'm,glad,you,59
where,is,that,20
tell,us,if,5
you,for,a,46
us,if,you,22
the,fact,that,901
if,you,see,66
him,all,the,14
you,see,it,38
all,the,way,319
the,way,and,38
when,i,got,115
i,got,there,20
please,please,please,43
there,is,a,982
or,anything,that,9
what,they,wanted,21
is,a,kid,5
the,poor,and,24
anything,that,is,10
slave,to,the,5
instead,of,me,7
